time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.095,
0.0016556291390728477,1.095,
0.009933774834437087,0.8175,
0.019867549668874173,0.6975,
0.029801324503311258,0.66,
0.039735099337748346,0.6375,
0.05132450331125828,0.63,
0.061258278145695365,0.6375,
0.07119205298013245,0.6375,
0.08112582781456953,0.6375,
0.09105960264900662,0.63,
0.10099337748344371,0.6225,
0.11092715231788079,0.6225,
0.12086092715231789,0.6225,
0.13079470198675497,0.615,
0.14072847682119205,0.6075,
0.152317880794702,0.6075,
0.16225165562913907,0.6,
0.17218543046357615,0.6,
0.18211920529801323,0.6,
0.19205298013245034,0.5925,
0.20198675496688742,0.5925,
0.2119205298013245,0.5925,
0.22185430463576158,0.5925,
0.23178807947019867,0.5850000000000001,
0.24172185430463577,0.5774999999999999,
0.2533112582781457,0.5774999999999999,
0.2632450331125828,0.57,
0.2731788079470199,0.57,
0.28311258278145696,0.57,
0.29304635761589404,0.57,
0.3029801324503311,0.5625,
0.3129139072847682,0.5625,
0.3228476821192053,0.5625,
0.33278145695364236,0.5625,
0.34271523178807944,0.555,
0.3543046357615894,0.555,
0.36423841059602646,0.555,
0.3741721854304636,0.555,
0.3841059602649007,0.5475,
0.39403973509933776,0.555,
0.40397350993377484,0.555,
0.4139072847682119,0.54,
0.423841059602649,0.54,
0.4337748344370861,0.54,
0.44370860927152317,0.5325,
0.4552980132450331,0.525,
0.4652317880794702,0.5175,
0.47516556291390727,0.5175,
0.48509933774834435,0.5175,
0.49503311258278143,0.5175,
0.5049668874172185,0.5175,
0.5149006622516556,0.5175,
0.5248344370860927,0.525,
0.5347682119205298,0.525,
0.5447019867549668,0.5175,
0.5562913907284768,0.51,
0.5662251655629139,0.5175,
0.5761589403973509,0.51,
0.5860927152317881,0.51,
0.5960264900662252,0.51,
0.6059602649006622,0.51,
0.6158940397350994,0.5025,
0.6258278145695364,0.5025,
0.6357615894039735,0.5025,
0.6456953642384106,0.51,
0.6572847682119205,0.5175,
0.6672185430463577,0.5025,
0.6771523178807947,0.495,
0.6870860927152318,0.4875,
0.6970198675496688,0.495,
0.706953642384106,0.48,
0.7168874172185431,0.48,
0.7268211920529801,0.48,
0.7367549668874173,0.48,
0.7466887417218543,0.4725,
0.7582781456953642,0.465,
0.7682119205298014,0.465,
0.7781456953642384,0.4575,
0.7880794701986755,0.4575,
0.7980132450331126,0.4575,
0.8079470198675497,0.45,
0.8178807947019867,0.45,
0.8278145695364238,0.4425,
0.8377483443708609,0.4425,
0.847682119205298,0.435,
0.859271523178808,0.435,
0.8692052980132451,0.435,
0.8791390728476821,0.435,
0.8890728476821192,0.435,
0.8990066225165563,0.4275,
0.9089403973509934,0.4275,
0.9188741721854304,0.4275,
0.9288079470198676,0.4275,
0.9387417218543046,0.4275,
0.9486754966887417,0.42,
0.9602649006622517,0.42,
0.9701986754966887,0.42,
0.9801324503311258,0.4125,
0.9900662251655629,0.4125,
1.0,0.405,
