time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.1025,
0.0,1.1025,
0.009933774834437087,0.855,
0.019867549668874173,0.81,
0.029801324503311258,0.8025,
0.039735099337748346,0.8175,
0.05132450331125828,0.81,
0.061258278145695365,0.795,
0.07119205298013245,0.7875,
0.08112582781456953,0.7875,
0.09105960264900662,0.7875,
0.10099337748344371,0.7875,
0.1109271523178808,0.78,
0.12086092715231789,0.7725,
0.13079470198675497,0.765,
0.14072847682119205,0.7575,
0.152317880794702,0.7575,
0.16225165562913907,0.7575,
0.17218543046357615,0.75,
0.18211920529801323,0.75,
0.19205298013245034,0.7425,
0.20198675496688742,0.7425,
0.2119205298013245,0.75,
0.2218543046357616,0.75,
0.23178807947019867,0.7425,
0.24172185430463577,0.7275,
0.2533112582781457,0.72,
0.2632450331125828,0.7275,
0.2731788079470199,0.735,
0.28311258278145696,0.7125,
0.29304635761589404,0.7125,
0.3029801324503311,0.72,
0.3129139072847682,0.705,
0.3228476821192053,0.6975,
0.3327814569536423,0.705,
0.34271523178807944,0.705,
0.3543046357615894,0.705,
0.36423841059602646,0.6975,
0.37417218543046366,0.69,
0.3841059602649007,0.69,
0.39403973509933776,0.69,
0.40397350993377484,0.69,
0.4139072847682119,0.6975,
0.423841059602649,0.6975,
0.4337748344370861,0.69,
0.4437086092715232,0.6825,
0.4552980132450331,0.6825,
0.4652317880794702,0.675,
0.47516556291390727,0.675,
0.48509933774834435,0.675,
0.49503311258278143,0.675,
0.5049668874172185,0.66,
0.5149006622516556,0.6675,
0.5248344370860927,0.66,
0.5347682119205298,0.66,
0.5447019867549668,0.6525,
0.5562913907284768,0.6525,
0.5662251655629139,0.66,
0.5761589403973509,0.6525,
0.5860927152317881,0.6525,
0.5960264900662252,0.6375,
0.6059602649006622,0.6375,
0.6158940397350994,0.63,
0.6258278145695364,0.6225,
0.6357615894039735,0.6225,
0.6456953642384106,0.6225,
0.6572847682119205,0.615,
0.6672185430463576,0.63,
0.6771523178807947,0.6225,
0.6870860927152318,0.6075,
0.6970198675496688,0.6075,
0.7069536423841059,0.6,
0.7168874172185431,0.6,
0.7268211920529801,0.6,
0.7367549668874173,0.5925,
0.7466887417218543,0.5850000000000001,
0.7582781456953642,0.5774999999999999,
0.7682119205298014,0.5774999999999999,
0.7781456953642384,0.5850000000000001,
0.7880794701986755,0.5774999999999999,
0.7980132450331126,0.57,
0.8079470198675497,0.5850000000000001,
0.8178807947019867,0.57,
0.8278145695364238,0.57,
0.8377483443708608,0.5625,
0.847682119205298,0.5625,
0.859271523178808,0.5625,
0.8692052980132451,0.555,
0.8791390728476822,0.5475,
0.8890728476821192,0.54,
0.8990066225165563,0.54,
0.9089403973509934,0.54,
0.9188741721854304,0.54,
0.9288079470198676,0.5325,
0.9387417218543046,0.525,
0.9486754966887416,0.5175,
0.9602649006622517,0.51,
0.9701986754966887,0.48,
0.9801324503311258,0.405,
0.9900662251655629,0.3525,
1.0,0.315,
