time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.1475,
0.0,1.1475,
0.009933774834437087,0.7875,
0.019867549668874173,0.675,
0.029801324503311258,0.6375,
0.039735099337748346,0.6225,
0.05132450331125828,0.615,
0.061258278145695365,0.5925,
0.07119205298013245,0.5774999999999999,
0.08112582781456953,0.5625,
0.09105960264900662,0.555,
0.10099337748344371,0.54,
0.11092715231788079,0.465,
0.12086092715231789,0.4575,
0.13079470198675497,0.465,
0.14072847682119205,0.465,
0.152317880794702,0.495,
0.16225165562913907,0.495,
0.17218543046357615,0.495,
0.18211920529801323,0.495,
0.19205298013245034,0.495,
0.20198675496688742,0.4875,
0.2119205298013245,0.4875,
0.22185430463576158,0.4875,
0.23178807947019867,0.48,
0.24172185430463577,0.48,
0.2533112582781457,0.4725,
0.2632450331125828,0.4725,
0.2731788079470199,0.4725,
0.28311258278145696,0.4725,
0.29304635761589404,0.4875,
0.3029801324503311,0.4725,
0.3129139072847682,0.4875,
0.3228476821192052,0.465,
0.33278145695364236,0.465,
0.34271523178807944,0.4575,
0.3543046357615894,0.45,
0.36423841059602646,0.45,
0.3741721854304636,0.45,
0.3841059602649007,0.45,
0.3940397350993378,0.45,
0.40397350993377484,0.4425,
0.4139072847682119,0.4425,
0.423841059602649,0.4425,
0.4337748344370861,0.435,
0.44370860927152317,0.4425,
0.45529801324503316,0.435,
0.4652317880794702,0.4425,
0.47516556291390727,0.435,
0.48509933774834435,0.4275,
0.49503311258278143,0.4275,
0.5049668874172185,0.4275,
0.5149006622516556,0.42,
0.5248344370860927,0.42,
0.5347682119205298,0.4275,
0.5447019867549668,0.42,
0.5562913907284768,0.42,
0.5662251655629139,0.4125,
0.5761589403973509,0.4125,
0.5860927152317881,0.42,
0.5960264900662252,0.4125,
0.6059602649006622,0.405,
0.6158940397350994,0.4125,
0.6258278145695364,0.42,
0.6357615894039735,0.4125,
0.6456953642384105,0.405,
0.6572847682119205,0.405,
0.6672185430463576,0.405,
0.6771523178807947,0.3975,
0.6870860927152318,0.3975,
0.6970198675496688,0.39,
0.706953642384106,0.39,
0.7168874172185431,0.3825,
0.7268211920529802,0.3825,
0.7367549668874173,0.3825,
0.7466887417218543,0.3825,
0.7582781456953642,0.375,
0.7682119205298014,0.3825,
0.7781456953642385,0.375,
0.7880794701986756,0.3825,
0.7980132450331126,0.375,
0.8079470198675497,0.3825,
0.8178807947019867,0.375,
0.8278145695364238,0.375,
0.8377483443708609,0.375,
0.847682119205298,0.375,
0.859271523178808,0.3675,
0.8692052980132451,0.3675,
0.8791390728476821,0.3825,
0.8890728476821192,0.375,
0.8990066225165563,0.375,
0.9089403973509934,0.3825,
0.9188741721854304,0.3675,
0.9288079470198676,0.3675,
0.9387417218543046,0.3675,
0.9486754966887417,0.3825,
0.9602649006622517,0.375,
0.9701986754966887,0.3675,
0.9801324503311258,0.36,
0.9900662251655629,0.345,
1.0,0.33,
